1.0000,1.0000
0.9899,0.9798
0.9798,0.9605
0.9697,0.9421
0.9596,0.9246
0.9495,0.9080
0.9394,0.8922
0.9293,0.8772
0.9192,0.8630
0.9091,0.8496
0.8990,0.8369
0.8889,0.8250
0.8788,0.8137
0.8687,0.8031
0.8586,0.7932
0.8485,0.7840
0.8384,0.7753
0.8283,0.7672
0.8182,0.7597
0.8081,0.7528
0.7980,0.7464
0.7879,0.7404
0.7778,0.7350
0.7677,0.7300
0.7576,0.7255
0.7475,0.7214
0.7374,0.7176
0.7273,0.7142
0.7172,0.7112
0.7071,0.7085
0.6970,0.7061
0.6869,0.7040
0.6768,0.7022
0.6667,0.7005
0.6566,0.6991
0.6465,0.6979
0.6364,0.6969
0.6263,0.6960
0.6162,0.6952
0.6061,0.6945
0.5960,0.6940
0.5859,0.6934
0.5758,0.6929
0.5657,0.6924
0.5556,0.6919
0.5455,0.6914
0.5354,0.6908
0.5253,0.6902
0.5152,0.6894
0.5051,0.6886
0.4949,0.6876
0.4848,0.6864
0.4747,0.6850
0.4646,0.6834
0.4545,0.6816
0.4444,0.6796
0.4343,0.6772
0.4242,0.6746
0.4141,0.6717
0.4040,0.6684
0.3939,0.6647
0.3838,0.6607
0.3737,0.6562
0.3636,0.6513
0.3535,0.6460
0.3434,0.6401
0.3333,0.6338
0.3232,0.6270
0.3131,0.6196
0.3030,0.6117
0.2929,0.6031
0.2828,0.5940
0.2727,0.5842
0.2626,0.5738
0.2525,0.5627
0.2424,0.5509
0.2323,0.5383
0.2222,0.5251
0.2121,0.5110
0.2020,0.4962
0.1919,0.4806
0.1818,0.4641
0.1717,0.4468
0.1616,0.4286
0.1515,0.4095
0.1414,0.3895
0.1313,0.3685
0.1212,0.3466
0.1111,0.3237
0.1010,0.2997
0.0909,0.2748
0.0808,0.2488
0.0707,0.2217
0.0606,0.1935
0.0505,0.1642
0.0404,0.1337
0.0303,0.1021
0.0202,0.0693
0.0101,0.0353
0.0000,0.0000
