time,temp,humid,volt
600400,23,78,5.154327
1200451,7,76,5.1327376
1800510,2,94,5.119141
2400540,0,99,5.116875
3000610,0,99,5.095525
3600671,1,99,5.1043516
4200730,1,99,5.081212
4800799,1,99,5.077873
5400875,1,99,5.060936
6000976,2,99,5.0560464
6601018,2,99,5.0370828
7201042,2,99,5.039587
7801068,2,99,5.027183
8401102,2,99,5.0341
9001124,2,99,5.022293
9601155,2,99,5.008577
10201235,3,99,5.006072
10801261,3,99,5.0051176
11401304,3,99,5.0163284
12001338,3,99,5.0233664
12601403,3,99,5.0071444
13201474,3,99,4.9867496
13801576,3,99,4.9789968
14401664,3,99,5.0015388
15001667,3,99,4.984483
15601693,3,99,4.9801892
16201687,3,99,4.9871072
16801759,4,99,4.980063
17401826,4,99,4.9845952
18001922,4,99,4.973734
18601999,4,99,4.9824476
19202068,4,99,4.9628952
19802163,4,99,4.98174
20402202,4,99,4.9661008
21002281,3,99,4.9854224
21602364,4,99,4.9892544
22202366,4,99,4.9513108
22802370,4,99,4.969335
23402449,4,99,4.9674124
24002508,4,99,4.957744
24602579,3,99,4.9560736
25202650,4,99,4.958005
25802697,4,99,4.9569088
26402769,4,99,4.964804
27002858,4,99,4.959436
27602936,4,99,4.9391304
28203004,4,99,4.9563204
28803078,4,99,4.9647884
29403125,4,99,4.950588
30003202,4,99,4.9355524
30603266,4,99,4.9326896
31203269,4,99,4.940703
31803351,4,99,4.918594
32403411,4,99,4.9430816
33003458,4,99,4.9289848
33603508,4,99,4.932317
34203519,4,99,4.929216
34803527,4,99,4.9265996
35403587,4,99,4.929827
36003687,4,99,4.9336516
36603725,4,99,4.933987
37203816,4,99,4.9258984
37803852,4,99,4.9295884
38403847,4,99,4.947628
39003936,3,99,4.9213516
39604020,3,99,4.9196672
